pickupArea,Percentage
1,1.23
2,0.46
3,1.28
4,0.1
5,0.14
6,1.57
7,0.92
8,9.67
9,0.02
10,0.02
11,0.12
12,0.02
13,0.05
14,0.12
15,0.1
16,0.27
17,0.1
18,0.1
19,0.31
20,0.14
21,0.1
22,0.53
23,0.77
24,1.25
25,2.03
26,0.58
27,0.84
28,14.98
29,1.21
30,0.39
31,0.39
32,9.65
33,4.75
34,1.91
35,3.62
36,0.53
37,2.12
38,2.07
39,1.57
40,0.55
41,3.38
42,0.68
43,0.63
44,2.07
45,0.36
46,0.46
47,0.53
48,0.31
49,2.99
50,0.89
51,0.89
52,0.14
53,2.73
54,0.36
55,0.02
56,1.23
57,0.1
58,0.07
59,0.17
60,0.6
61,1.33
62,0.05
63,0.07
64,0.05
65,0.1
66,0.24
67,0.41
68,1.28
69,1.38
70,0.58
71,1.71
72,0.43
73,3.04
74,0.17
75,1.52
76,1.35
77,1.09
