pickupArea,Percentage
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,4.11
9,0.0
10,0.0
11,1.37
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,1.37
22,0.0
23,0.0
24,1.37
25,0.0
26,0.0
27,0.0
28,4.11
29,0.0
30,0.0
31,1.37
32,4.11
33,2.74
34,1.37
35,0.0
36,1.37
37,0.0
38,1.37
39,2.74
40,0.0
41,0.0
42,16.44
43,1.37
44,1.37
45,0.0
46,1.37
47,0.0
48,1.37
49,1.37
50,0.0
51,0.0
52,0.0
53,1.37
54,0.0
55,0.0
56,17.81
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,2.74
70,0.0
71,0.0
72,4.11
73,0.0
74,8.22
75,2.74
76,4.11
77,0.0
78,8.22
