dropArea,Percentage
1,0.54
2,0.06
3,0.86
4,0.34
5,0.04
6,0.74
7,0.75
8,5.07
9,0.01
10,0.06
11,0.05
12,0.01
13,0.01
14,0.06
15,0.04
16,0.18
17,0.04
18,0.03
19,0.1
20,0.03
21,0.09
22,0.26
23,0.39
24,0.44
25,1.21
26,0.43
27,1.42
28,12.27
29,0.86
30,0.34
31,1.7
32,7.97
33,3.07
34,2.54
35,2.04
36,0.8
37,1.08
38,1.79
39,1.5
40,1.13
41,2.48
42,1.94
43,2.28
44,7.32
45,1.19
46,0.77
47,0.36
48,1.55
49,2.16
50,0.91
51,0.8
52,0.09
53,0.65
54,0.25
55,1.3
56,0.89
57,0.04
58,0.04
59,0.03
60,0.49
61,0.38
62,0.01
63,0.08
64,0.08
65,0.13
66,2.23
67,0.78
68,1.5
69,4.31
70,0.54
71,1.37
72,0.25
73,1.3
74,0.03
75,0.68
76,0.52
77,0.69
78,9.29
