dropArea,Percentage
1,1.74
2,0.61
3,2.36
4,0.1
5,0.0
6,0.92
7,1.64
8,4.2
9,0.0
10,0.1
11,0.0
12,0.0
13,0.0
14,0.0
15,0.82
16,0.51
17,0.0
18,0.0
19,0.61
20,0.1
21,0.1
22,0.61
23,1.43
24,1.02
25,0.92
26,0.41
27,0.41
28,5.33
29,0.41
30,0.51
31,1.13
32,2.36
33,1.64
34,0.92
35,4.2
36,1.64
37,1.13
38,1.95
39,0.72
40,1.23
41,0.41
42,1.23
43,2.56
44,2.56
45,0.31
46,1.54
47,0.1
48,0.82
49,2.66
50,2.56
51,1.13
52,0.2
53,2.66
54,0.31
55,0.1
56,0.41
57,0.1
58,0.82
59,0.72
60,0.31
61,4.2
62,0.0
63,0.51
64,0.1
65,0.0
66,0.92
67,1.23
68,4.3
69,1.95
70,1.54
71,1.43
72,0.0
73,1.43
74,0.51
75,1.02
76,0.82
77,2.46
78,14.24
