pickupArea,Percentage
1,0.43
2,0.0
3,0.57
4,0.0
5,0.0
6,1.14
7,0.43
8,20.57
9,0.0
10,0.14
11,0.0
12,0.0
13,0.0
14,0.0
15,0.14
16,0.43
17,0.0
18,0.0
19,0.14
20,0.0
21,0.0
22,0.14
23,0.57
24,1.29
25,1.43
26,0.14
27,4.14
28,11.57
29,0.43
30,0.57
31,0.86
32,10.14
33,1.43
34,0.86
35,1.0
36,0.14
37,0.29
38,0.71
39,1.0
40,1.14
41,5.71
42,1.43
43,0.86
44,1.0
45,0.14
46,1.86
47,0.0
48,0.29
49,0.29
50,0.29
51,1.43
52,3.29
53,0.14
54,0.0
55,0.71
56,6.71
57,0.0
58,0.0
59,0.0
60,0.0
61,0.29
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.29
70,0.29
71,0.57
72,0.14
73,0.14
74,0.0
75,0.57
76,5.71
77,0.29
78,5.71
