dropArea,Percentage
1,0.56
2,0.6
3,1.58
4,0.11
5,0.23
6,1.96
7,0.56
8,7.94
9,0.11
10,0.11
11,0.26
12,0.08
13,0.08
14,0.19
15,0.64
16,0.72
17,0.11
18,0.08
19,0.41
20,0.19
21,1.05
22,0.94
23,1.09
24,1.69
25,1.24
26,0.34
27,1.32
28,9.71
29,3.42
30,6.93
31,3.58
32,5.65
33,2.18
34,0.98
35,0.6
36,0.3
37,0.6
38,0.38
39,0.45
40,0.26
41,0.68
42,0.56
43,1.24
44,1.28
45,0.56
46,0.38
47,0.04
48,0.87
49,1.32
50,0.53
51,0.53
52,0.15
53,0.19
54,0.49
55,0.11
56,9.26
57,0.6
58,2.07
59,0.83
60,1.17
61,0.75
62,0.11
63,0.3
64,0.49
65,0.15
66,0.3
67,0.41
68,0.75
69,1.88
70,0.3
71,0.64
72,0.04
73,0.23
74,0.0
75,0.23
76,1.84
77,0.45
78,9.03
