pickupArea,Percentage
1,1.34
2,3.08
3,1.33
4,1.87
5,0.27
6,2.96
7,1.03
8,8.8
9,0.09
10,1.26
11,5.53
12,2.77
13,1.64
14,1.86
15,0.96
16,2.53
17,0.23
18,0.01
19,0.11
20,0.07
21,0.44
22,0.51
23,0.07
24,0.51
25,0.15
26,0.04
27,0.01
28,3.75
29,0.06
30,0.02
31,0.01
32,7.04
33,0.33
34,0.03
35,0.04
36,0.0
37,0.01
38,0.0
39,0.02
40,0.01
41,0.07
42,0.02
43,0.04
44,0.01
45,0.0
46,0.01
47,0.0
48,0.0
49,0.02
50,0.0
51,0.0
52,0.0
53,0.01
54,0.0
55,0.0
56,1.22
57,0.0
58,0.01
59,0.01
60,0.09
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.02
67,0.0
68,0.02
69,0.02
70,0.01
71,0.01
72,0.01
73,0.03
74,0.0
75,0.02
76,40.76
77,2.55
78,4.3
