pickupArea,Percentage
1,0.1
2,0.09
3,0.48
4,0.06
5,0.07
6,1.65
7,1.07
8,21.49
9,0.0
10,0.03
11,0.03
12,0.02
13,0.1
14,0.07
15,0.03
16,0.11
17,0.01
18,0.02
19,0.05
20,0.03
21,0.13
22,0.57
23,0.16
24,2.55
25,0.2
26,0.07
27,0.07
28,17.77
29,0.27
30,0.3
31,2.16
32,28.35
33,4.85
34,0.69
35,0.2
36,0.03
37,0.02
38,0.12
39,0.06
40,0.04
41,0.26
42,0.21
43,0.46
44,0.42
45,0.08
46,0.23
47,0.05
48,0.13
49,0.53
50,0.09
51,0.14
52,0.03
53,0.3
54,0.07
55,0.04
56,3.82
57,0.03
58,0.04
59,0.23
60,0.48
61,0.2
62,0.01
63,0.07
64,0.08
65,0.03
66,0.05
67,0.1
68,0.13
69,0.22
70,0.16
71,0.28
72,0.06
73,0.28
74,0.02
75,0.13
76,6.24
77,0.17
