dropArea,Percentage
1,3.78
2,13.19
3,3.32
4,5.72
5,1.11
6,4.24
7,0.74
8,4.06
9,0.28
10,0.55
11,4.43
12,1.2
13,7.66
14,8.86
15,3.14
16,4.06
17,0.18
18,0.18
19,0.46
20,0.37
21,3.87
22,0.46
23,0.55
24,0.65
25,0.28
26,0.0
27,0.28
28,1.48
29,0.0
30,0.0
31,0.0
32,2.31
33,0.09
34,0.09
35,0.09
36,0.0
37,0.0
38,0.0
39,0.0
40,0.09
41,0.09
42,0.09
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.09
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.46
57,0.0
58,0.09
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.09
67,0.09
68,0.0
69,0.0
70,0.09
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,16.79
77,4.34
