pickupArea,Percentage
1,0.21
2,0.26
3,0.45
4,0.43
5,0.05
6,0.76
7,0.43
8,9.2
9,0.0
10,0.0
11,0.07
12,0.0
13,0.02
14,0.14
15,0.02
16,0.02
17,0.02
18,0.02
19,0.83
20,0.45
21,0.07
22,0.31
23,0.26
24,0.31
25,1.24
26,0.19
27,0.31
28,10.46
29,0.81
30,0.14
31,0.31
32,11.56
33,3.12
34,0.76
35,1.45
36,0.33
37,0.26
38,1.55
39,2.14
40,0.5
41,1.55
42,2.62
43,1.47
44,1.28
45,0.55
46,1.26
47,0.67
48,0.5
49,2.09
50,0.33
51,0.52
52,0.02
53,3.14
54,0.1
55,0.02
56,9.46
57,0.07
58,0.05
59,0.02
60,0.55
61,0.33
62,0.02
63,0.02
64,0.12
65,0.21
66,0.38
67,0.38
68,0.57
69,1.55
70,0.43
71,0.86
72,0.76
73,1.19
74,1.17
75,4.0
76,4.92
77,0.31
78,7.02
