pickupArea,Percentage
1,0.15
2,0.06
3,0.36
4,0.06
5,0.06
6,1.8
7,0.78
8,18.45
9,0.0
10,0.0
11,0.02
12,0.02
13,0.0
14,0.06
15,0.0
16,0.04
17,0.0
18,0.02
19,0.02
20,0.0
21,0.08
22,0.08
23,0.08
24,0.7
25,0.21
26,0.04
27,0.02
28,6.78
29,0.09
30,0.25
31,0.27
32,23.08
33,5.07
34,0.34
35,0.09
36,0.0
37,0.0
38,0.11
39,0.23
40,0.0
41,0.85
42,0.09
43,0.19
44,0.11
45,0.02
46,0.02
47,0.0
48,0.28
49,0.04
50,0.0
51,0.06
52,0.0
53,0.13
54,0.02
55,0.02
56,27.82
57,0.02
58,0.11
59,0.0
60,0.34
61,0.02
62,0.06
63,0.04
64,1.25
65,0.28
66,0.23
67,0.09
68,0.09
69,0.08
70,0.32
71,0.28
72,0.11
73,0.04
74,0.04
75,0.04
76,4.67
77,0.06
78,2.77
