dropArea,Percentage
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,1.43
7,0.0
8,5.71
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,1.43
26,1.43
27,2.86
28,1.43
29,0.0
30,0.0
31,0.0
32,7.14
33,0.0
34,1.43
35,4.29
36,0.0
37,1.43
38,1.43
39,4.29
40,0.0
41,5.71
42,0.0
43,0.0
44,0.0
45,5.71
46,1.43
47,0.0
48,1.43
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,1.43
57,1.43
58,0.0
59,2.86
60,0.0
61,1.43
62,0.0
63,1.43
64,0.0
65,0.0
66,2.86
67,21.43
68,8.57
69,1.43
70,1.43
71,5.71
72,0.0
73,1.43
74,0.0
75,0.0
76,0.0
77,0.0
