dropArea,Percentage
1,0.38
2,0.26
3,1.11
4,0.59
5,1.21
6,3.5
7,4.29
8,22.2
9,0.05
10,0.19
11,0.12
12,0.05
13,0.05
14,0.64
15,0.56
16,0.89
17,0.15
18,0.06
19,0.56
20,0.48
21,1.94
22,7.19
23,3.08
24,18.61
25,0.6
26,0.29
27,0.49
28,9.91
29,0.33
30,0.19
31,0.79
32,7.93
33,0.86
34,0.17
35,0.1
36,0.03
37,0.04
38,0.1
39,0.08
40,0.05
41,0.21
42,0.09
43,0.02
44,0.03
45,0.01
46,0.03
47,0.0
48,0.01
49,0.03
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,1.14
57,0.0
58,0.08
59,0.1
60,0.18
61,0.31
62,0.02
63,0.04
64,0.03
65,0.02
66,0.04
67,0.02
68,0.06
69,0.07
70,0.02
71,0.03
72,0.02
73,0.01
74,0.0
75,0.01
76,4.57
77,0.72
78,1.94
