dropArea,Percentage
1,0.44
2,1.62
3,1.88
4,1.82
5,0.84
6,4.73
7,1.3
8,5.15
9,0.16
10,3.16
11,6.12
12,0.94
13,0.58
14,2.69
15,22.0
16,7.64
17,3.0
18,0.61
19,5.22
20,0.98
21,2.46
22,2.33
23,1.01
24,2.53
25,1.37
26,0.08
27,0.1
28,3.06
29,0.18
30,0.1
31,0.08
32,3.4
33,0.35
34,0.13
35,0.06
36,0.04
37,0.03
38,0.03
39,0.03
40,0.01
41,0.09
42,0.03
43,0.13
44,0.03
45,0.01
46,0.03
47,0.01
48,0.01
49,0.04
50,0.01
51,0.03
52,0.01
53,0.01
54,0.0
55,0.0
56,0.38
57,0.02
58,0.03
59,0.03
60,0.03
61,0.08
62,0.02
63,0.01
64,0.0
65,0.01
66,0.03
67,0.0
68,0.17
69,0.06
70,0.02
71,0.03
72,0.0
73,0.02
74,0.03
75,0.01
76,9.58
77,0.79
