dropArea,Percentage
1,0.73
2,0.09
3,0.81
4,0.47
5,0.05
6,0.93
7,0.88
8,5.41
9,0.02
10,0.09
11,0.07
12,0.02
13,0.02
14,0.09
15,0.03
16,0.19
17,0.05
18,0.03
19,0.12
20,0.02
21,0.12
22,0.36
23,0.52
24,0.54
25,1.54
26,0.57
27,1.87
28,14.28
29,1.12
30,0.47
31,2.26
32,8.79
33,2.85
34,2.99
35,1.74
36,0.74
37,1.28
38,1.12
39,0.59
40,0.86
41,2.04
42,1.76
43,1.71
44,5.65
45,0.95
46,0.66
47,0.33
48,1.33
49,2.28
50,1.02
51,0.78
52,0.1
53,0.71
54,0.26
55,1.71
56,0.4
57,0.03
58,0.03
59,0.02
60,0.6
61,0.28
62,0.02
63,0.05
64,0.05
65,0.12
66,0.48
67,0.31
68,1.55
69,3.83
70,0.47
71,1.33
72,0.24
73,1.17
74,0.03
75,0.86
76,0.52
77,0.9
78,10.69
