pickupArea,Percentage
1,0.39
2,1.34
3,1.01
4,1.3
5,0.34
6,2.06
7,0.83
8,9.17
9,0.46
10,7.04
11,9.22
12,0.68
13,0.21
14,0.67
15,1.71
16,0.94
17,1.04
18,0.17
19,0.34
20,0.05
21,0.29
22,0.34
23,0.07
24,0.91
25,0.15
26,0.01
27,0.03
28,2.79
29,0.01
30,0.01
31,0.01
32,7.5
33,0.94
34,0.06
35,0.04
36,0.0
37,0.0
38,0.03
39,0.03
40,0.01
41,0.09
42,0.05
43,0.11
44,0.02
45,0.01
46,0.02
47,0.0
48,0.03
49,0.01
50,0.0
51,0.01
52,0.0
53,0.02
54,0.0
55,0.0
56,0.73
57,0.0
58,0.01
59,0.0
60,0.03
61,0.0
62,0.0
63,0.0
64,0.0
65,0.01
66,0.01
67,0.02
68,0.02
69,0.06
70,0.0
71,0.04
72,0.01
73,0.05
74,0.0
75,0.02
76,45.95
77,0.41
