dropArea,Percentage
1,0.76
2,0.59
3,1.66
4,1.4
5,2.21
6,6.87
7,8.07
8,12.77
9,0.03
10,0.2
11,0.3
12,0.16
13,0.16
14,1.11
15,1.09
16,2.6
17,0.23
18,0.09
19,1.93
20,1.32
21,3.69
22,13.88
23,2.59
24,13.87
25,0.6
26,0.1
27,0.58
28,5.08
29,0.1
30,0.18
31,0.48
32,4.19
33,0.6
34,0.12
35,0.1
36,0.02
37,0.06
38,0.06
39,0.06
40,0.03
41,0.12
42,0.11
43,0.05
44,0.07
45,0.01
46,0.03
47,0.01
48,0.01
49,0.06
50,0.01
51,0.02
52,0.0
53,0.01
54,0.06
55,0.0
56,0.73
57,0.02
58,0.06
59,0.09
60,0.17
61,0.07
62,0.02
63,0.02
64,0.01
65,0.01
66,0.02
67,0.05
68,0.05
69,0.08
70,0.02
71,0.1
72,0.01
73,0.02
74,0.01
75,0.03
76,4.45
77,0.75
78,2.68
