dropArea,Percentage
1,1.24
2,0.09
3,0.77
4,0.13
5,0.04
6,0.98
7,0.55
8,7.29
9,0.0
10,0.0
11,0.04
12,0.04
13,0.04
14,0.0
15,0.09
16,0.3
17,0.0
18,0.04
19,0.17
20,0.0
21,0.13
22,0.47
23,0.34
24,1.45
25,1.83
26,0.94
27,0.72
28,10.99
29,1.49
30,0.26
31,2.26
32,5.97
33,5.07
34,1.62
35,1.15
36,0.34
37,1.02
38,2.43
39,0.34
40,0.26
41,3.15
42,1.24
43,2.17
44,1.62
45,0.98
46,0.77
47,0.04
48,0.38
49,1.36
50,0.72
51,1.58
52,0.09
53,0.72
54,0.34
55,0.04
56,3.41
57,0.47
58,0.85
59,0.72
60,0.47
61,0.43
62,0.21
63,0.43
64,0.72
65,1.02
66,2.17
67,0.81
68,2.3
69,2.26
70,7.2
71,3.03
72,2.0
73,2.05
74,0.21
75,0.77
76,1.45
77,0.94
