dropArea,Percentage
1,3.26
2,1.95
3,4.3
4,2.73
5,3.52
6,7.68
7,2.21
8,7.03
9,0.0
10,1.04
11,1.3
12,0.13
13,0.65
14,12.24
15,4.3
16,12.37
17,0.13
18,0.0
19,1.43
20,0.13
21,5.73
22,2.73
23,0.78
24,2.21
25,0.39
26,0.0
27,0.0
28,1.3
29,0.0
30,0.39
31,0.26
32,2.08
33,0.39
34,0.39
35,0.26
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.26
43,0.0
44,0.13
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,1.17
57,0.0
58,0.13
59,0.0
60,0.13
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,12.76
77,2.08
