dropArea,Percentage
1,0.0
2,0.0
3,0.12
4,0.0
5,0.0
6,0.12
7,0.24
8,3.87
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.12
17,0.0
18,0.0
19,0.0
20,0.12
21,0.0
22,0.0
23,0.24
24,0.24
25,0.12
26,0.24
27,0.24
28,13.68
29,0.24
30,0.12
31,0.12
32,7.99
33,3.75
34,0.73
35,10.53
36,1.69
37,0.73
38,15.5
39,7.99
40,1.45
41,8.11
42,5.81
43,1.45
44,1.09
45,0.12
46,0.48
47,0.12
48,0.48
49,0.48
50,0.24
51,0.12
52,0.0
53,0.0
54,0.0
55,0.0
56,1.21
57,0.0
58,0.12
59,0.24
60,0.24
61,1.69
62,0.0
63,0.12
64,0.0
65,0.0
66,0.24
67,1.82
68,1.45
69,1.45
70,0.85
71,0.48
72,0.24
73,0.36
74,0.0
75,0.12
76,0.48
77,0.12
