dropArea,Percentage
1,2.61
2,1.72
3,3.27
4,4.88
5,4.18
6,7.86
7,1.68
8,4.86
9,0.09
10,0.64
11,1.16
12,0.91
13,1.95
14,9.66
15,5.09
16,20.42
17,0.69
18,0.13
19,1.72
20,0.42
21,5.28
22,2.65
23,0.77
24,1.85
25,0.39
26,0.1
27,0.09
28,2.65
29,0.13
30,0.13
31,0.11
32,2.89
33,0.47
34,0.11
35,0.04
36,0.02
37,0.03
38,0.07
39,0.04
40,0.0
41,0.13
42,0.04
43,0.05
44,0.04
45,0.0
46,0.01
47,0.01
48,0.01
49,0.03
50,0.02
51,0.01
52,0.01
53,0.0
54,0.0
55,0.0
56,0.3
57,0.02
58,0.02
59,0.02
60,0.05
61,0.02
62,0.01
63,0.04
64,0.01
65,0.0
66,0.0
67,0.05
68,0.05
69,0.05
70,0.01
71,0.02
72,0.0
73,0.02
74,0.01
75,0.0
76,5.91
77,1.29
