pickupArea,Percentage
1,0.62
2,0.5
3,2.14
4,0.41
5,0.12
6,1.59
7,0.66
8,9.4
9,0.0
10,0.03
11,0.03
12,0.0
13,0.04
14,0.05
15,0.07
16,0.12
17,0.04
18,0.03
19,0.11
20,0.03
21,0.07
22,0.32
23,0.52
24,1.67
25,1.55
26,0.31
27,0.53
28,19.16
29,0.98
30,0.46
31,0.56
32,8.15
33,3.56
34,2.3
35,2.54
36,0.44
37,0.45
38,1.69
39,1.29
40,1.05
41,2.92
42,1.38
43,2.12
44,2.28
45,0.21
46,0.41
47,0.66
48,0.64
49,5.15
50,2.11
51,1.45
52,0.08
53,2.03
54,0.37
55,0.23
56,2.12
57,0.03
58,0.15
59,0.09
60,0.74
61,0.44
62,0.49
63,0.09
64,0.01
65,0.27
66,0.33
67,0.46
68,1.13
69,1.79
70,0.42
71,0.73
72,0.61
73,1.41
74,0.16
75,0.94
76,1.45
77,0.49
