dropArea,Percentage
1,1.18
2,0.22
3,1.52
4,0.08
5,0.08
6,0.95
7,0.85
8,5.49
9,0.02
10,0.26
11,0.12
12,0.04
13,0.06
14,0.02
15,0.06
16,0.32
17,0.06
18,0.1
19,0.16
20,0.0
21,0.1
22,0.53
23,0.91
24,1.2
25,1.46
26,0.81
27,1.54
28,12.45
29,0.65
30,0.37
31,1.4
32,5.55
33,4.02
34,2.52
35,2.5
36,0.67
37,1.12
38,2.11
39,1.56
40,0.98
41,2.09
42,1.83
43,2.95
44,5.02
45,0.81
46,0.63
47,0.3
48,0.75
49,2.66
50,1.32
51,1.44
52,0.04
53,1.36
54,0.61
55,0.33
56,1.1
57,0.06
58,0.08
59,0.04
60,0.73
61,0.51
62,0.08
63,0.1
64,0.08
65,0.37
66,0.43
67,0.57
68,2.54
69,8.47
70,0.53
71,1.1
72,0.43
73,1.46
74,0.14
75,1.28
76,2.78
77,0.98
