dropArea,Percentage
1,0.0
2,0.0
3,2.03
4,0.0
5,0.0
6,0.0
7,0.0
8,4.05
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,1.35
25,0.0
26,0.0
27,0.68
28,2.03
29,0.0
30,0.0
31,0.0
32,2.03
33,2.03
34,0.0
35,6.08
36,0.0
37,0.68
38,3.38
39,10.81
40,1.35
41,4.05
42,12.84
43,3.38
44,2.7
45,0.68
46,2.03
47,0.0
48,0.0
49,2.03
50,0.0
51,0.68
52,0.0
53,2.03
54,0.0
55,0.0
56,7.43
57,0.0
58,1.35
59,0.0
60,0.0
61,1.35
62,0.0
63,1.35
64,0.0
65,0.68
66,0.68
67,0.0
68,0.68
69,2.03
70,1.35
71,2.03
72,2.03
73,0.68
74,6.76
75,2.03
76,2.7
77,0.0
