dropArea,Percentage
1,0.39
2,0.26
3,1.05
4,0.69
5,1.22
6,3.71
7,4.74
8,23.94
9,0.03
10,0.18
11,0.33
12,0.05
13,0.05
14,0.61
15,0.46
16,0.82
17,0.1
18,0.02
19,0.35
20,0.33
21,1.26
22,5.71
23,2.16
24,21.01
25,0.53
26,0.12
27,0.34
28,9.41
29,0.19
30,0.14
31,0.73
32,9.33
33,1.02
34,0.22
35,0.11
36,0.02
37,0.05
38,0.05
39,0.06
40,0.03
41,0.17
42,0.06
43,0.08
44,0.07
45,0.01
46,0.03
47,0.01
48,0.01
49,0.11
50,0.02
51,0.02
52,0.01
53,0.02
54,0.0
55,0.0
56,0.72
57,0.01
58,0.07
59,0.09
60,0.18
61,0.14
62,0.02
63,0.02
64,0.03
65,0.01
66,0.02
67,0.03
68,0.07
69,0.11
70,0.02
71,0.03
72,0.02
73,0.03
74,0.0
75,0.01
76,3.34
77,0.65
78,1.93
