dropArea,Percentage
1,3.8
2,8.0
3,8.02
4,18.51
5,5.16
6,5.23
7,2.58
8,4.37
9,0.07
10,1.04
11,0.56
12,0.71
13,3.97
14,6.18
15,0.78
16,4.42
17,0.14
18,0.02
19,0.23
20,0.15
21,1.07
22,1.24
23,0.2
24,1.42
25,0.29
26,0.02
27,0.58
28,1.44
29,0.11
30,0.02
31,0.02
32,2.66
33,0.24
34,0.08
35,0.05
36,0.05
37,0.02
38,0.02
39,0.06
40,0.02
41,0.08
42,0.04
43,0.19
44,0.1
45,0.0
46,0.04
47,0.0
48,0.02
49,0.11
50,0.0
51,0.01
52,0.0
53,0.05
54,0.02
55,0.0
56,0.44
57,0.01
58,0.01
59,0.0
60,0.05
61,0.02
62,0.0
63,0.0
64,0.01
65,0.01
66,0.01
67,0.02
68,0.04
69,0.06
70,0.02
71,0.04
72,0.0
73,0.02
74,0.0
75,0.07
76,4.11
77,7.04
78,3.81
