pickupArea,Percentage
1,0.5
2,0.05
3,0.4
4,0.2
5,0.05
6,1.55
7,0.75
8,13.66
9,0.0
10,0.0
11,0.1
12,0.0
13,0.0
14,0.3
15,0.1
16,0.25
17,0.0
18,0.0
19,0.1
20,0.15
21,0.05
22,0.45
23,0.25
24,0.6
25,0.05
26,0.1
27,0.05
28,10.42
29,0.45
30,0.8
31,0.45
32,15.65
33,2.34
34,0.3
35,0.3
36,0.15
37,0.05
38,0.25
39,0.5
40,0.1
41,0.55
42,0.3
43,0.5
44,0.15
45,0.0
46,0.55
47,0.15
48,0.05
49,0.1
50,0.0
51,0.05
52,0.0
53,0.0
54,0.0
55,0.05
56,26.32
57,2.39
58,0.8
59,0.35
60,0.3
61,0.25
62,1.05
63,0.15
64,0.65
65,1.05
66,0.15
67,0.1
68,0.05
69,0.15
70,0.55
71,0.1
72,0.05
73,0.25
74,0.0
75,0.0
76,6.78
77,0.05
78,4.59
