dropArea,Percentage
1,0.34
2,0.15
3,0.93
4,0.43
5,1.04
6,4.63
7,4.26
8,25.99
9,0.0
10,0.03
11,0.05
12,0.02
13,0.05
14,0.16
15,0.06
16,0.18
17,0.01
18,0.0
19,0.1
20,0.03
21,0.2
22,1.28
23,0.11
24,3.73
25,0.2
26,0.02
27,0.04
28,5.88
29,0.07
30,0.22
31,0.36
32,18.36
33,4.78
34,0.2
35,0.32
36,0.12
37,0.02
38,0.32
39,0.68
40,0.05
41,2.25
42,0.17
43,0.12
44,0.17
45,0.0
46,0.04
47,0.0
48,0.06
49,0.02
50,0.0
51,0.03
52,0.01
53,0.03
54,0.0
55,0.0
56,3.47
57,0.24
58,0.12
59,0.21
60,0.42
61,0.05
62,0.13
63,0.07
64,0.64
65,0.31
66,0.14
67,0.08
68,0.02
69,0.09
70,0.38
71,0.18
72,0.36
73,0.04
74,0.21
75,0.13
76,1.45
77,0.8
78,12.19
