dropArea,Percentage
1,0.63
2,0.53
3,1.23
4,1.12
5,1.6
6,5.02
7,4.48
8,24.42
9,0.19
10,0.84
11,0.36
12,0.38
13,0.21
14,0.42
15,0.38
16,0.7
17,0.18
18,0.06
19,0.12
20,0.03
21,0.41
22,1.85
23,0.08
24,2.92
25,0.09
26,0.01
27,0.03
28,4.48
29,0.0
30,0.01
31,0.1
32,16.74
33,2.7
34,0.08
35,0.13
36,0.04
37,0.0
38,0.04
39,0.21
40,0.01
41,0.6
42,0.05
43,0.03
44,0.01
45,0.0
46,0.01
47,0.0
48,0.0
49,0.0
50,0.0
51,0.01
52,0.01
53,0.0
54,0.0
55,0.0
56,0.2
57,0.01
58,0.01
59,0.01
60,0.11
61,0.02
62,0.01
63,0.01
64,0.01
65,0.04
66,0.01
67,0.0
68,0.01
69,0.01
70,0.0
71,0.01
72,0.02
73,0.01
74,0.01
75,0.01
76,2.27
77,1.16
78,22.53
