dropArea,Percentage
1,1.2
2,0.86
3,1.0
4,0.65
5,0.33
6,1.66
7,1.58
8,6.42
9,0.03
10,0.22
11,0.22
12,0.11
13,0.14
14,1.0
15,0.57
16,1.16
17,0.19
18,0.37
19,2.44
20,1.4
21,1.8
22,6.18
23,9.81
24,12.53
25,3.52
26,1.27
27,2.03
28,6.19
29,2.25
30,0.6
31,0.68
32,7.05
33,0.94
34,0.52
35,0.53
36,0.14
37,0.44
38,0.33
39,0.27
40,0.31
41,0.48
42,0.72
43,1.09
44,1.02
45,0.12
46,0.45
47,0.01
48,0.55
49,0.53
50,0.25
51,0.33
52,0.05
53,0.37
54,0.12
55,0.0
56,1.19
57,0.07
58,0.22
59,0.11
60,0.16
61,0.27
62,0.0
63,0.19
64,0.05
65,0.04
66,0.4
67,0.53
68,0.93
69,1.5
70,0.12
71,1.23
72,0.01
73,0.41
74,0.01
75,0.15
76,1.5
77,0.82
78,5.08
