dropArea,Percentage
1,0.42
2,0.25
3,1.52
4,0.59
5,0.98
6,11.27
7,13.66
8,31.21
9,0.03
10,0.08
11,0.09
12,0.05
13,0.08
14,0.29
15,0.18
16,0.47
17,0.03
18,0.01
19,0.27
20,0.14
21,0.39
22,2.47
23,0.21
24,3.62
25,0.12
26,0.04
27,0.06
28,4.92
29,0.06
30,0.04
31,0.21
32,14.99
33,0.88
34,0.05
35,0.12
36,0.02
37,0.01
38,0.06
39,0.18
40,0.02
41,0.36
42,0.04
43,0.05
44,0.02
45,0.0
46,0.01
47,0.0
48,0.01
49,0.01
50,0.01
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,1.71
57,0.01
58,0.01
59,0.03
60,0.07
61,0.1
62,0.01
63,0.0
64,0.02
65,0.0
66,0.01
67,0.01
68,0.02
69,0.01
70,0.0
71,0.01
72,0.01
73,0.01
74,0.0
75,0.0
76,6.43
77,0.95
