pickupArea,Percentage
1,3.9
2,2.42
3,18.79
4,4.8
5,1.13
6,19.2
7,3.25
8,11.94
9,0.0
10,0.08
11,0.24
12,0.06
13,0.69
14,1.3
15,0.31
16,1.11
17,0.1
18,0.03
19,0.17
20,0.1
21,0.44
22,0.58
23,0.1
24,0.88
25,0.18
26,0.05
27,0.13
28,2.09
29,0.05
30,0.07
31,0.06
32,7.46
33,0.46
34,0.02
35,0.1
36,0.04
37,0.01
38,0.08
39,0.08
40,0.04
41,0.15
42,0.19
43,0.23
44,0.11
45,0.06
46,0.11
47,0.01
48,0.01
49,0.36
50,0.01
51,0.03
52,0.0
53,0.08
54,0.03
55,0.0
56,0.43
57,0.02
58,0.02
59,0.0
60,0.03
61,0.06
62,0.01
63,0.0
64,0.07
65,0.01
66,0.05
67,0.04
68,0.05
69,0.11
70,0.04
71,0.11
72,0.01
73,0.07
74,0.0
75,0.02
76,4.76
77,10.12
