dropArea,Percentage
1,2.1
2,8.65
3,1.11
4,4.16
5,2.1
6,1.77
7,0.95
8,4.24
9,0.25
10,3.5
11,3.67
12,8.07
13,3.95
14,2.88
15,5.07
16,8.15
17,0.99
18,0.08
19,0.58
20,0.33
21,0.86
22,0.7
23,0.25
24,3.62
25,0.45
26,0.04
27,0.08
28,2.35
29,0.0
30,0.04
31,0.16
32,3.42
33,0.21
34,0.21
35,0.08
36,0.0
37,0.04
38,0.0
39,0.0
40,0.04
41,0.25
42,0.04
43,0.08
44,0.0
45,0.0
46,0.04
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.04
54,0.0
55,0.0
56,0.41
57,0.0
58,0.0
59,0.0
60,0.41
61,0.0
62,0.0
63,0.0
64,0.04
65,0.0
66,0.0
67,0.0
68,0.08
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,9.02
77,2.88
78,11.53
