dropArea,Percentage
1,0.18
2,0.09
3,0.54
4,0.27
5,0.09
6,0.36
7,0.45
8,4.29
9,0.0
10,0.18
11,0.0
12,0.09
13,0.0
14,0.09
15,0.0
16,0.54
17,0.0
18,0.0
19,0.45
20,0.0
21,0.18
22,0.09
23,0.0
24,1.25
25,2.23
26,0.36
27,0.8
28,5.89
29,0.45
30,0.45
31,1.79
32,5.89
33,2.68
34,2.77
35,1.07
36,0.27
37,1.61
38,1.16
39,3.21
40,0.71
41,2.32
42,0.8
43,1.43
44,2.14
45,0.18
46,0.27
47,0.18
48,0.89
49,4.11
50,1.34
51,1.16
52,0.09
53,1.25
54,0.0
55,0.27
56,2.86
57,0.09
58,0.09
59,0.18
60,0.45
61,0.36
62,0.0
63,0.0
64,0.54
65,0.45
66,0.8
67,0.89
68,1.52
69,2.23
70,3.48
71,2.86
72,3.21
73,3.66
74,0.8
75,2.86
76,1.79
77,0.54
78,13.48
