pickupArea,Percentage
1,0.19
2,0.12
3,0.61
4,0.19
5,0.16
6,2.64
7,1.96
8,34.7
9,0.0
10,0.04
11,0.07
12,0.02
13,0.03
14,0.09
15,0.05
16,0.13
17,0.01
18,0.0
19,0.03
20,0.0
21,0.03
22,0.11
23,0.09
24,0.62
25,0.06
26,0.01
27,0.02
28,13.05
29,0.02
30,0.01
31,0.03
32,28.54
33,3.18
34,0.05
35,0.1
36,0.02
37,0.01
38,0.03
39,0.06
40,0.01
41,0.13
42,0.04
43,0.21
44,0.14
45,0.03
46,0.08
47,0.01
48,0.06
49,0.1
50,0.02
51,0.05
52,0.01
53,0.05
54,0.02
55,0.01
56,1.01
57,0.0
58,0.01
59,0.0
60,0.02
61,0.01
62,0.0
63,0.0
64,0.01
65,0.01
66,0.03
67,0.02
68,0.04
69,0.06
70,0.03
71,0.11
72,0.02
73,0.11
74,0.0
75,0.05
76,7.14
77,0.63
78,2.59
