pickupArea,Percentage
1,0.11
2,0.16
3,0.34
4,0.06
5,0.05
6,0.88
7,0.85
8,20.78
9,0.0
10,0.02
11,0.03
12,0.01
13,0.03
14,0.05
15,0.02
16,0.07
17,0.02
18,0.0
19,0.01
20,0.0
21,0.03
22,0.07
23,0.06
24,0.3
25,0.1
26,0.02
27,0.09
28,8.6
29,0.1
30,0.03
31,0.09
32,23.32
33,4.2
34,0.21
35,0.75
36,0.29
37,0.13
38,1.0
39,2.84
40,0.29
41,8.02
42,1.08
43,0.78
44,0.32
45,0.14
46,0.21
47,0.03
48,0.15
49,0.15
50,0.03
51,0.09
52,0.03
53,0.06
54,0.01
55,0.05
56,9.52
57,0.03
58,0.01
59,0.02
60,0.06
61,0.06
62,0.03
63,0.01
64,0.02
65,0.03
66,0.03
67,0.07
68,0.13
69,0.17
70,0.12
71,0.13
72,0.04
73,0.08
74,0.0
75,0.06
76,11.96
77,0.28
