pickupArea,Percentage
1,0.13
2,0.26
3,0.26
4,0.0
5,0.0
6,0.79
7,0.26
8,19.71
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.53
25,0.0
26,0.0
27,0.0
28,8.02
29,0.13
30,0.26
31,0.0
32,25.76
33,7.36
34,0.53
35,1.71
36,0.66
37,0.13
38,5.26
39,1.31
40,0.53
41,4.34
42,0.39
43,0.13
44,0.66
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.26
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,4.99
57,0.0
58,0.13
59,0.39
60,0.26
61,0.26
62,0.0
63,0.0
64,0.0
65,0.26
66,0.26
67,0.0
68,0.39
69,0.39
70,0.0
71,1.05
72,0.0
73,2.1
74,0.0
75,0.0
76,9.86
77,0.26
