pickupArea,Percentage
1,0.0
2,0.46
3,0.35
4,0.17
5,0.46
6,2.89
7,0.58
8,6.24
9,0.17
10,1.21
11,4.22
12,0.17
13,0.12
14,0.69
15,5.61
16,2.31
17,9.94
18,0.35
19,1.97
20,0.35
21,1.1
22,1.39
23,0.4
24,2.02
25,0.46
26,0.12
27,0.46
28,18.73
29,0.17
30,0.17
31,0.0
32,4.39
33,0.35
34,0.0
35,0.0
36,0.0
37,0.23
38,6.3
39,0.06
40,0.52
41,0.12
42,0.0
43,0.0
44,0.0
45,0.0
46,0.06
47,0.0
48,0.0
49,0.06
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,1.33
57,0.0
58,0.0
59,0.06
60,0.0
61,0.06
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,21.21
77,1.97
