pickupArea,Percentage
1,2.09
2,0.54
3,1.69
4,0.34
5,0.14
6,1.22
7,1.49
8,15.47
9,0.0
10,0.2
11,0.27
12,0.0
13,0.0
14,0.81
15,0.47
16,0.27
17,0.07
18,0.0
19,0.47
20,0.0
21,0.27
22,0.14
23,1.15
24,1.55
25,1.22
26,0.2
27,0.41
28,11.49
29,1.15
30,0.27
31,1.01
32,8.58
33,2.3
34,0.61
35,3.51
36,0.95
37,0.27
38,2.7
39,0.61
40,1.08
41,0.54
42,0.74
43,1.15
44,1.08
45,0.14
46,0.88
47,0.2
48,0.2
49,0.88
50,1.01
51,0.61
52,0.0
53,0.95
54,0.07
55,0.0
56,1.35
57,0.07
58,0.54
59,0.34
60,0.81
61,2.77
62,0.07
63,0.2
64,0.0
65,0.14
66,0.88
67,0.47
68,2.09
69,1.22
70,0.34
71,3.58
72,0.0
73,0.34
74,0.41
75,0.41
76,2.36
77,1.35
78,6.82
