pickupArea,Percentage
1,0.81
2,0.6
3,0.93
4,0.48
5,0.39
6,3.82
7,2.42
8,17.04
9,0.02
10,0.23
11,0.33
12,0.05
13,0.12
14,1.37
15,0.74
16,1.52
17,0.1
18,0.24
19,1.07
20,0.65
21,1.35
22,5.94
23,4.38
24,14.79
25,1.17
26,0.27
27,0.6
28,8.76
29,0.52
30,0.18
31,0.39
32,12.64
33,0.99
34,0.09
35,0.18
36,0.06
37,0.03
38,0.18
39,0.05
40,0.13
41,0.21
42,0.27
43,0.26
44,0.19
45,0.01
46,0.11
47,0.01
48,0.23
49,0.17
50,0.01
51,0.12
52,0.01
53,0.12
54,0.02
55,0.0
56,2.17
57,0.03
58,0.06
59,0.01
60,0.07
61,0.09
62,0.02
63,0.05
64,0.02
65,0.01
66,0.16
67,0.18
68,0.27
69,0.28
70,0.05
71,0.44
72,0.0
73,0.12
74,0.0
75,0.03
76,7.9
77,0.72
