dropArea,Percentage
1,3.11
2,13.25
3,4.7
4,11.69
5,1.09
6,2.91
7,1.34
8,3.57
9,0.12
10,0.59
11,2.58
12,2.45
13,13.35
14,8.54
15,1.64
16,3.92
17,0.13
18,0.05
19,0.41
20,0.14
21,1.08
22,0.82
23,0.24
24,0.4
25,0.26
26,0.01
27,0.09
28,1.23
29,0.03
30,0.03
31,0.4
32,2.44
33,0.5
34,0.04
35,0.1
36,0.06
37,0.03
38,0.13
39,0.06
40,0.04
41,0.22
42,0.08
43,0.12
44,0.05
45,0.01
46,0.0
47,0.0
48,0.0
49,0.04
50,0.01
51,0.0
52,0.0
53,0.12
54,0.0
55,0.0
56,0.39
57,0.0
58,0.01
59,0.0
60,0.05
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.03
67,0.01
68,0.03
69,0.05
70,0.03
71,0.06
72,0.0
73,0.0
74,0.0
75,0.01
76,8.38
77,6.75
