dropArea,Percentage
1,0.6
2,0.65
3,1.35
4,0.27
5,0.0
6,1.41
7,0.7
8,8.06
9,0.0
10,0.27
11,0.11
12,0.0
13,0.16
14,0.32
15,0.22
16,2.38
17,0.11
18,0.16
19,0.16
20,0.11
21,0.27
22,0.65
23,1.57
24,1.19
25,2.06
26,0.87
27,1.57
28,9.69
29,0.87
30,0.49
31,1.73
32,7.2
33,2.81
34,1.52
35,1.68
36,0.49
37,0.92
38,1.35
39,0.97
40,0.81
41,2.49
42,0.65
43,2.0
44,3.14
45,0.76
46,0.43
47,0.27
48,0.6
49,1.89
50,2.49
51,1.57
52,0.0
53,0.32
54,0.49
55,0.05
56,0.97
57,0.11
58,0.43
59,0.49
60,0.38
61,1.24
62,0.27
63,0.49
64,0.27
65,0.87
66,1.46
67,5.25
68,4.38
69,2.54
70,0.97
71,1.46
72,0.54
73,0.97
74,0.11
75,0.87
76,0.76
77,2.27
