pickupArea,Percentage
1,1.73
2,0.53
3,1.6
4,0.27
5,0.2
6,3.2
7,0.87
8,9.67
9,0.0
10,0.07
11,0.07
12,0.0
13,0.0
14,0.07
15,0.0
16,1.0
17,0.0
18,0.07
19,1.13
20,0.4
21,0.13
22,0.8
23,2.47
24,1.0
25,2.53
26,0.2
27,0.73
28,14.53
29,2.33
30,0.13
31,0.2
32,5.07
33,3.33
34,0.47
35,2.27
36,0.2
37,0.33
38,2.27
39,0.27
40,1.0
41,1.8
42,1.0
43,1.87
44,1.2
45,0.07
46,0.67
47,0.13
48,0.6
49,1.07
50,0.33
51,1.2
52,0.0
53,1.33
54,0.33
55,0.13
56,0.93
57,0.07
58,0.27
59,0.13
60,0.13
61,0.8
62,0.07
63,0.4
64,0.2
65,1.13
66,3.0
67,2.73
68,2.2
69,0.93
70,1.13
71,1.8
72,0.33
73,1.13
74,0.0
75,0.47
76,0.6
77,0.2
78,8.47
