dropArea,Percentage
1,0.71
2,1.06
3,1.77
4,3.9
5,0.35
6,4.26
7,0.35
8,7.09
9,0.35
10,8.87
11,6.38
12,1.42
13,1.42
14,4.26
15,7.45
16,1.77
17,1.77
18,0.0
19,1.42
20,0.0
21,1.06
22,1.06
23,0.35
24,1.06
25,0.35
26,0.0
27,0.0
28,1.77
29,0.0
30,0.0
31,0.35
32,3.19
33,0.35
34,0.0
35,0.0
36,0.35
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.35
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,1.77
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,23.76
77,1.42
78,8.16
