pickupArea,Percentage
1,0.16
2,0.47
3,0.38
4,0.19
5,0.09
6,1.54
7,0.6
8,17.69
9,0.0
10,0.06
11,0.03
12,0.0
13,0.0
14,0.06
15,0.03
16,0.09
17,0.0
18,0.0
19,0.06
20,0.0
21,0.0
22,0.13
23,1.26
24,0.41
25,0.53
26,0.06
27,0.22
28,10.59
29,0.38
30,0.72
31,0.31
32,9.8
33,2.73
34,0.57
35,1.63
36,0.22
37,0.16
38,2.29
39,1.63
40,0.85
41,4.05
42,1.1
43,3.49
44,3.86
45,1.07
46,2.17
47,1.07
48,2.83
49,1.26
50,1.23
51,4.49
52,0.16
53,0.63
54,0.13
55,0.16
56,2.8
57,0.09
58,0.03
59,0.0
60,0.19
61,0.25
62,0.06
63,0.06
64,0.16
65,0.19
66,0.13
67,0.35
68,0.41
69,1.19
70,0.28
71,0.5
72,0.31
73,1.41
74,0.06
75,0.57
76,1.98
77,0.31
78,5.03
