pickupArea,Percentage
1,0.31
2,0.36
3,0.76
4,0.14
5,0.23
6,2.3
7,0.89
8,17.56
9,0.0
10,0.04
11,0.08
12,0.01
13,0.03
14,0.31
15,0.15
16,0.54
17,0.04
18,0.01
19,0.37
20,0.12
21,1.15
22,0.87
23,0.57
24,2.05
25,1.46
26,0.13
27,0.53
28,15.66
29,1.5
30,2.38
31,2.35
32,19.2
33,2.78
34,0.83
35,0.5
36,0.1
37,0.05
38,0.37
39,0.17
40,0.26
41,0.36
42,0.36
43,1.68
44,0.35
45,0.05
46,0.41
47,0.06
48,0.57
49,0.41
50,0.08
51,0.52
52,0.03
53,0.44
54,0.05
55,0.01
56,6.71
57,0.12
58,0.37
59,0.18
60,0.46
61,0.19
62,0.08
63,0.14
64,0.1
65,0.09
66,0.15
67,0.12
68,0.25
69,0.25
70,0.08
71,0.31
72,0.06
73,0.21
74,0.06
75,0.18
76,4.97
77,0.26
78,2.09
