pickupArea,Percentage
1,0.64
2,0.2
3,1.21
4,0.13
5,0.07
6,1.37
7,1.21
8,14.69
9,0.0
10,0.04
11,0.08
12,0.01
13,0.05
14,0.08
15,0.03
16,0.1
17,0.09
18,0.06
19,0.04
20,0.02
21,0.04
22,0.35
23,0.45
24,0.56
25,0.41
26,0.13
27,0.45
28,9.18
29,0.63
30,0.13
31,0.28
32,15.13
33,4.77
34,0.56
35,2.16
36,0.67
37,0.09
38,2.97
39,3.33
40,0.85
41,9.99
42,4.28
43,2.91
44,1.3
45,0.34
46,0.84
47,0.07
48,0.5
49,0.73
50,0.22
51,0.32
52,0.13
53,0.47
54,0.04
55,0.09
56,4.13
57,0.08
58,0.04
59,0.02
60,0.37
61,0.27
62,0.03
63,0.08
64,0.03
65,0.05
66,0.49
67,0.1
68,0.94
69,0.78
70,0.24
71,0.32
72,0.08
73,0.19
74,0.1
75,0.6
76,5.02
77,0.54
