dropArea,Percentage
1,0.39
2,0.64
3,2.31
4,0.19
5,0.06
6,2.38
7,0.51
8,4.17
9,0.0
10,0.13
11,0.06
12,0.32
13,0.13
14,0.51
15,0.77
16,0.45
17,0.19
18,0.06
19,0.39
20,0.39
21,0.32
22,1.28
23,2.83
24,1.73
25,6.42
26,4.43
27,3.21
28,15.35
29,4.11
30,0.64
31,1.35
32,4.11
33,1.48
34,2.5
35,1.48
36,0.58
37,1.54
38,0.77
39,1.8
40,0.26
41,0.77
42,1.03
43,2.06
44,1.86
45,0.19
46,1.03
47,0.06
48,0.13
49,1.48
50,0.45
51,0.64
52,0.06
53,0.71
54,0.96
55,0.19
56,0.71
57,0.13
58,0.71
59,0.58
60,0.39
61,0.19
62,0.0
63,0.39
64,0.13
65,0.26
66,0.51
67,0.77
68,2.7
69,3.53
70,1.35
71,0.45
72,0.13
73,1.16
74,0.0
75,0.51
76,1.67
77,1.86
