dropArea,Percentage
1,0.15
2,0.18
3,0.85
4,0.38
5,0.09
6,0.41
7,0.62
8,7.01
9,0.03
10,0.03
11,0.09
12,0.0
13,0.06
14,0.0
15,0.09
16,0.18
17,0.0
18,0.03
19,0.03
20,0.0
21,0.0
22,0.21
23,0.29
24,0.32
25,0.53
26,0.15
27,0.26
28,8.27
29,0.23
30,0.23
31,0.29
32,8.1
33,5.66
34,2.08
35,8.48
36,6.04
37,0.65
38,5.58
39,4.72
40,3.05
41,5.31
42,2.35
43,1.53
44,1.88
45,0.38
46,0.65
47,0.12
48,0.21
49,0.97
50,0.32
51,0.12
52,0.03
53,0.44
54,0.29
55,0.0
56,1.88
57,0.09
58,0.12
59,0.21
60,0.65
61,1.32
62,0.23
63,0.0
64,0.0
65,0.12
66,0.26
67,0.56
68,1.09
69,2.46
70,0.5
71,1.61
72,0.18
73,2.52
74,0.03
75,0.41
76,1.35
77,0.29
78,4.17
