dropArea,Percentage
1,0.38
2,0.24
3,1.7
4,0.13
5,0.21
6,1.14
7,1.55
8,11.33
9,0.0
10,0.14
11,1.44
12,0.03
13,0.06
14,0.03
15,0.1
16,0.18
17,0.03
18,0.0
19,0.01
20,0.01
21,0.08
22,0.2
23,0.63
24,0.7
25,0.75
26,0.18
27,0.36
28,6.2
29,0.38
30,0.39
31,0.96
32,7.55
33,3.42
34,0.67
35,2.96
36,1.09
37,0.39
38,3.14
39,3.98
40,2.07
41,9.4
42,7.09
43,4.14
44,2.61
45,0.57
46,1.07
47,0.17
48,0.49
49,1.45
50,0.42
51,0.47
52,0.14
53,0.5
54,0.1
55,0.15
56,1.19
57,0.08
58,0.13
59,0.11
60,0.88
61,0.42
62,0.11
63,0.11
64,0.07
65,0.11
66,2.07
67,0.5
68,1.45
69,2.19
70,0.73
71,0.93
72,0.33
73,0.63
74,0.25
75,1.53
76,1.86
77,0.75
