pickupArea,Percentage
1,0.14
2,0.0
3,0.0
4,0.0
5,0.0
6,0.14
7,0.14
8,3.76
9,0.0
10,0.14
11,0.0
12,0.0
13,0.14
14,0.28
15,0.0
16,0.14
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.28
23,0.14
24,0.56
25,0.14
26,0.0
27,0.0
28,11.54
29,0.28
30,0.7
31,0.14
32,3.48
33,1.67
34,0.0
35,1.53
36,0.56
37,0.14
38,6.12
39,1.25
40,0.42
41,6.68
42,1.11
43,1.53
44,0.7
45,0.28
46,0.28
47,0.0
48,0.0
49,2.92
50,0.0
51,0.28
52,0.14
53,0.0
54,0.0
55,0.14
56,20.86
57,0.14
58,0.42
59,0.83
60,0.28
61,0.14
62,0.28
63,0.28
64,0.7
65,1.39
66,0.7
67,0.28
68,0.83
69,0.14
70,6.95
71,3.76
72,1.81
73,2.09
74,0.28
75,0.28
76,5.29
77,0.28
78,4.17
