pickupArea,Percentage
1,1.25
2,0.31
3,1.25
4,0.2
5,0.11
6,2.21
7,0.42
8,10.83
9,0.02
10,0.04
11,0.07
12,0.0
13,0.09
14,0.06
15,0.06
16,0.11
17,0.06
18,0.04
19,0.04
20,0.0
21,0.02
22,0.66
23,1.65
24,0.68
25,1.38
26,0.13
27,1.19
28,16.78
29,0.88
30,0.31
31,0.31
32,11.97
33,3.4
34,0.94
35,2.26
36,1.01
37,0.29
38,1.65
39,0.92
40,0.62
41,3.16
42,1.23
43,1.38
44,2.0
45,0.22
46,0.48
47,1.69
48,0.53
49,0.53
50,0.37
51,0.51
52,0.13
53,0.94
54,0.18
55,0.06
56,5.44
57,0.09
58,0.04
59,0.09
60,0.13
61,1.42
62,0.42
63,0.04
64,0.15
65,0.18
66,0.66
67,0.5
68,1.14
69,1.03
70,1.31
71,3.86
72,0.59
73,1.12
74,0.09
75,0.44
76,2.7
77,0.92
