pickupArea,Percentage
1,0.28
2,0.18
3,1.75
4,0.37
5,0.0
6,0.65
7,0.46
8,6.83
9,0.09
10,0.0
11,0.0
12,0.0
13,0.0
14,0.09
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.09
22,2.12
23,0.83
24,0.37
25,2.22
26,1.39
27,0.46
28,15.42
29,2.22
30,1.2
31,1.66
32,15.6
33,14.04
34,0.83
35,1.39
36,0.83
37,0.55
38,1.2
39,0.46
40,0.37
41,1.75
42,0.55
43,1.66
44,1.39
45,0.18
46,0.74
47,1.29
48,0.28
49,1.66
50,0.92
51,0.18
52,0.0
53,0.92
54,1.66
55,0.09
56,0.55
57,0.09
58,0.0
59,0.0
60,0.28
61,0.28
62,0.0
63,0.0
64,0.28
65,0.18
66,0.74
67,0.83
68,2.31
69,1.85
70,0.74
71,1.94
72,0.0
73,1.94
74,0.0
75,0.09
76,0.28
77,0.37
