dropArea,Percentage
1,0.28
2,0.13
3,0.73
4,0.1
5,0.07
6,0.95
7,0.67
8,11.49
9,0.0
10,0.05
11,0.06
12,0.01
13,0.03
14,0.02
15,0.06
16,0.15
17,0.01
18,0.02
19,0.02
20,0.01
21,0.08
22,0.12
23,0.07
24,0.35
25,0.36
26,0.18
27,0.25
28,11.16
29,0.14
30,0.1
31,0.15
32,11.89
33,4.31
34,0.37
35,3.2
36,1.35
37,0.48
38,5.52
39,6.99
40,1.69
41,13.12
42,2.92
43,1.61
44,1.32
45,0.38
46,0.34
47,0.1
48,0.38
49,0.72
50,0.19
51,0.13
52,0.05
53,0.33
54,0.05
55,0.01
56,3.55
57,0.07
58,0.09
59,0.02
60,0.2
61,0.7
62,0.03
63,0.07
64,0.09
65,0.05
66,0.24
67,0.59
68,0.98
69,1.29
70,0.16
71,0.37
72,0.36
73,0.66
74,0.01
75,0.67
76,3.71
77,0.81
