dropArea,Percentage
1,1.41
2,2.11
3,4.66
4,7.75
5,10.3
6,14.15
7,4.93
8,8.37
9,0.06
10,0.32
11,0.29
12,0.13
13,0.67
14,2.68
15,0.81
16,5.98
17,0.17
18,0.03
19,0.5
20,0.06
21,2.77
22,3.41
23,0.28
24,2.85
25,0.11
26,0.03
27,0.25
28,3.04
29,0.04
30,0.08
31,0.1
32,5.12
33,0.45
34,0.07
35,0.07
36,0.04
37,0.03
38,0.03
39,0.03
40,0.03
41,0.12
42,0.03
43,0.05
44,0.02
45,0.0
46,0.03
47,0.0
48,0.01
49,0.04
50,0.02
51,0.01
52,0.0
53,0.01
54,0.0
55,0.0
56,1.25
57,0.0
58,0.03
59,0.02
60,0.03
61,0.01
62,0.02
63,0.01
64,0.01
65,0.01
66,0.08
67,0.01
68,0.06
69,0.02
70,0.01
71,0.03
72,0.02
73,0.02
74,0.0
75,0.01
76,8.96
77,2.32
78,2.51
