pickupArea,Percentage
1,0.1
2,0.09
3,0.47
4,0.06
5,0.07
6,1.63
7,1.05
8,21.18
9,0.0
10,0.03
11,0.03
12,0.02
13,0.09
14,0.07
15,0.03
16,0.11
17,0.01
18,0.02
19,0.05
20,0.03
21,0.13
22,0.56
23,0.15
24,2.51
25,0.2
26,0.06
27,0.07
28,17.51
29,0.27
30,0.29
31,2.13
32,27.95
33,4.78
34,0.68
35,0.2
36,0.03
37,0.02
38,0.12
39,0.06
40,0.04
41,0.26
42,0.21
43,0.45
44,0.41
45,0.08
46,0.23
47,0.05
48,0.13
49,0.52
50,0.09
51,0.14
52,0.03
53,0.3
54,0.07
55,0.04
56,3.76
57,0.03
58,0.04
59,0.22
60,0.47
61,0.2
62,0.01
63,0.07
64,0.08
65,0.03
66,0.05
67,0.1
68,0.13
69,0.22
70,0.16
71,0.28
72,0.06
73,0.28
74,0.02
75,0.13
76,6.15
77,0.17
78,1.42
