pickupArea,Percentage
1,0.25
2,0.25
3,0.45
4,0.1
5,0.15
6,2.17
7,0.45
8,18.75
9,0.0
10,0.0
11,0.05
12,0.0
13,0.0
14,0.25
15,0.05
16,0.66
17,0.35
18,0.05
19,0.0
20,0.15
21,0.25
22,0.4
23,0.71
24,0.96
25,1.01
26,0.3
27,0.51
28,12.38
29,1.16
30,0.4
31,1.52
32,15.82
33,2.22
34,3.99
35,0.1
36,0.0
37,0.25
38,0.71
39,0.51
40,0.3
41,1.47
42,0.4
43,0.35
44,0.3
45,0.1
46,0.3
47,0.05
48,0.05
49,0.4
50,0.1
51,0.15
52,0.0
53,0.05
54,0.0
55,0.05
56,14.05
57,0.45
58,0.66
59,0.71
60,0.56
61,1.01
62,0.71
63,1.62
64,0.1
65,0.35
66,1.06
67,0.45
68,0.45
69,0.25
70,0.51
71,0.25
72,0.0
73,0.05
74,0.15
75,0.2
76,4.35
77,0.61
