pickupArea,Percentage
1,0.04
2,0.0
3,0.27
4,0.01
5,0.05
6,1.23
7,1.44
8,31.23
9,0.0
10,0.0
11,0.02
12,0.01
13,0.0
14,0.02
15,0.01
16,0.05
17,0.1
18,0.0
19,0.0
20,0.02
21,0.1
22,0.16
23,0.02
24,0.99
25,0.02
26,0.0
27,0.02
28,12.58
29,0.03
30,0.03
31,0.09
32,42.92
33,3.3
34,0.14
35,0.41
36,0.04
37,0.0
38,0.09
39,0.06
40,0.01
41,0.23
42,0.03
43,0.02
44,0.06
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,1.19
57,0.03
58,0.0
59,0.01
60,0.04
61,0.0
62,0.0
63,0.02
64,0.0
65,0.01
66,0.0
67,0.01
68,0.01
69,0.0
70,0.0
71,0.01
72,0.0
73,0.01
74,0.0
75,0.0
76,2.71
77,0.09
