dropArea,Percentage
1,0.39
2,0.12
3,0.58
4,0.3
5,0.23
6,0.97
7,0.95
8,12.13
9,0.0
10,0.14
11,0.14
12,0.23
13,0.18
14,0.12
15,0.05
16,0.35
17,0.0
18,0.0
19,0.05
20,0.02
21,0.42
22,0.48
23,0.25
24,1.06
25,0.14
26,0.07
27,0.07
28,10.29
29,0.25
30,0.83
31,3.53
32,11.83
33,6.14
34,4.71
35,3.34
36,0.62
37,0.58
38,0.9
39,1.31
40,0.14
41,0.85
42,1.01
43,0.44
44,0.9
45,0.05
46,0.07
47,0.0
48,0.14
49,1.29
50,0.69
51,0.23
52,0.0
53,0.05
54,0.07
55,0.0
56,5.7
57,0.14
58,0.44
59,1.41
60,9.83
61,1.22
62,0.09
63,0.25
64,0.42
65,0.12
66,0.18
67,0.09
68,0.65
69,0.88
70,0.21
71,0.16
72,0.02
73,0.23
74,0.02
75,0.53
76,2.61
77,0.25
78,4.87
