dropArea,Percentage
1,3.58
2,8.52
3,8.84
4,19.27
5,4.84
6,5.49
7,2.56
8,5.41
9,0.1
10,0.76
11,0.6
12,0.58
13,3.35
14,5.97
15,0.85
16,4.05
17,0.14
18,0.03
19,0.24
20,0.14
21,1.07
22,1.42
23,0.21
24,1.46
25,0.24
26,0.02
27,0.43
28,1.65
29,0.1
30,0.03
31,0.05
32,3.49
33,0.3
34,0.08
35,0.07
36,0.03
37,0.01
38,0.02
39,0.04
40,0.02
41,0.11
42,0.04
43,0.14
44,0.07
45,0.0
46,0.07
47,0.0
48,0.02
49,0.08
50,0.0
51,0.01
52,0.0
53,0.03
54,0.01
55,0.0
56,0.65
57,0.01
58,0.01
59,0.01
60,0.04
61,0.03
62,0.0
63,0.01
64,0.01
65,0.01
66,0.01
67,0.01
68,0.03
69,0.05
70,0.02
71,0.03
72,0.0
73,0.02
74,0.0
75,0.05
76,5.03
77,7.31
