dropArea,Percentage
1,3.16
2,7.0
3,4.33
4,9.93
5,1.75
6,2.56
7,0.75
8,3.68
9,0.02
10,0.49
11,1.29
12,0.89
13,5.51
14,14.67
15,2.53
16,10.97
17,0.43
18,0.07
19,1.79
20,0.33
21,2.34
22,1.78
23,0.63
24,1.78
25,1.3
26,0.04
27,0.15
28,2.41
29,0.58
30,0.1
31,0.08
32,2.61
33,0.28
34,0.04
35,0.02
36,0.03
37,0.03
38,0.02
39,0.02
40,0.01
41,0.14
42,0.06
43,0.06
44,0.02
45,0.0
46,0.01
47,0.0
48,0.01
49,0.02
50,0.0
51,0.0
52,0.0
53,0.01
54,0.01
55,0.0
56,0.33
57,0.03
58,0.02
59,0.0
60,0.02
61,0.1
62,0.0
63,0.01
64,0.0
65,0.0
66,0.02
67,0.01
68,0.15
69,0.02
70,0.02
71,0.02
72,0.02
73,0.01
74,0.0
75,0.04
76,3.18
77,2.27
78,7.01
