pickupArea,Percentage
1,1.23
2,1.23
3,1.23
4,0.53
5,0.71
6,10.41
7,5.11
8,21.16
9,0.0
10,0.35
11,0.88
12,0.0
13,0.0
14,1.41
15,0.35
16,1.76
17,0.18
18,0.53
19,1.23
20,0.0
21,0.53
22,2.47
23,0.71
24,3.7
25,0.71
26,0.0
27,0.18
28,7.05
29,0.0
30,0.0
31,0.35
32,9.88
33,0.88
34,0.0
35,0.0
36,0.0
37,0.0
38,0.18
39,0.18
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,1.23
57,0.0
58,0.0
59,0.18
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,22.57
77,0.88
