dropArea,Percentage
1,13.78
2,5.33
3,2.22
4,0.0
5,0.0
6,3.56
7,0.44
8,16.0
9,0.0
10,1.78
11,0.44
12,0.89
13,0.0
14,1.33
15,0.44
16,0.89
17,0.0
18,0.0
19,0.0
20,0.44
21,0.0
22,1.33
23,2.67
24,0.89
25,0.44
26,0.0
27,0.0
28,3.56
29,0.44
30,0.0
31,0.0
32,12.44
33,0.89
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,2.22
57,0.0
58,0.0
59,0.0
60,0.44
61,0.0
62,0.0
63,0.0
64,0.44
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,6.22
77,11.56
78,8.89
