dropArea,Percentage
1,1.8
2,0.0
3,2.06
4,0.0
5,0.0
6,1.29
7,0.51
8,5.4
9,0.26
10,0.0
11,0.26
12,0.0
13,0.26
14,0.26
15,0.0
16,1.03
17,0.26
18,0.51
19,0.26
20,0.0
21,0.26
22,0.26
23,1.8
24,0.77
25,2.31
26,0.77
27,0.51
28,7.46
29,0.77
30,2.83
31,1.54
32,4.63
33,2.31
34,0.51
35,0.51
36,1.03
37,0.51
38,0.51
39,0.0
40,0.26
41,0.51
42,0.26
43,1.03
44,1.29
45,0.51
46,0.0
47,0.0
48,0.26
49,2.83
50,0.26
51,0.0
52,0.0
53,0.77
54,0.0
55,0.0
56,3.08
57,0.51
58,9.0
59,12.34
60,1.8
61,2.06
62,0.26
63,1.03
64,0.51
65,0.26
66,1.54
67,1.03
68,1.03
69,2.06
70,0.51
71,0.51
72,0.26
73,1.54
74,0.0
75,0.51
76,1.54
77,1.03
78,6.17
